iter	Passed	Remaining
0	58	58092
1	58	29210
2	58	19569
3	59	14749
4	59	11864
5	59	9939
6	60	8562
7	60	7540
8	61	6732
9	61	6087
10	61	5563
11	62	5129
12	62	4757
13	63	4437
14	63	4160
15	63	3918
16	64	3705
17	64	3515
18	64	3346
19	65	3193
20	65	3060
21	66	2934
22	66	2819
23	66	2714
24	67	2616
25	67	2526
26	67	2443
27	68	2366
28	68	2297
29	68	2230
30	69	2166
31	69	2107
32	70	2052
33	70	2000
34	70	1951
35	71	1904
36	71	1860
37	71	1818
38	72	1779
39	72	1742
40	72	1706
41	73	1673
42	73	1641
43	74	1610
44	74	1580
45	74	1553
46	75	1527
47	75	1501
48	76	1478
49	76	1454
50	76	1432
51	77	1409
52	77	1388
53	78	1367
54	78	1347
55	78	1328
56	79	1310
57	79	1293
58	80	1276
59	80	1260
60	80	1244
61	81	1229
62	81	1214
63	81	1199
64	82	1185
65	82	1172
66	83	1158
67	83	1143
68	83	1130
69	84	1118
70	84	1105
71	84	1093
72	85	1082
73	85	1070
74	85	1059
75	86	1049
76	86	1039
77	87	1029
78	87	1019
79	87	1009
80	88	1000
81	88	991
82	88	982
83	89	973
84	89	962
85	89	955
86	90	944
87	90	937
88	90	929
89	91	921
90	91	913
91	91	906
92	92	899
93	92	891
94	92	885
95	93	878
96	93	872
97	94	865
98	94	859
99	94	853
100	95	847
101	95	839
102	95	833
103	96	827
104	96	821
105	96	816
106	97	811
107	97	805
108	97	800
109	98	795
110	98	790
111	99	785
112	99	780
113	99	775
114	100	770
115	100	765
116	100	761
117	101	756
118	101	751
119	101	747
120	102	742
121	103	742
122	103	736
123	103	732
124	103	727
125	104	723
126	104	719
127	104	714
128	105	710
129	105	706
130	106	703
131	106	699
132	106	695
133	107	691
134	107	688
135	107	684
136	108	681
137	108	677
138	108	673
139	109	669
140	109	666
141	109	663
142	110	659
143	110	656
144	110	653
145	111	650
146	111	647
147	111	644
148	112	641
149	112	638
150	113	635
151	113	632
152	113	629
153	114	626
154	114	624
155	114	621
156	115	618
157	115	616
158	115	613
159	116	610
160	116	607
161	116	605
162	117	603
163	117	600
164	118	597
165	118	595
166	118	592
167	119	590
168	119	587
169	119	585
170	120	583
171	120	580
172	120	578
173	121	575
174	121	573
175	122	571
176	122	569
177	122	567
178	123	564
179	123	563
180	123	559
181	124	558
182	124	556
183	125	554
184	125	552
185	125	550
186	126	548
187	126	545
188	126	543
189	127	541
190	127	539
191	127	537
192	128	535
193	128	533
194	128	532
195	129	530
196	129	528
197	130	526
198	130	524
199	130	523
200	131	521
201	131	519
202	131	517
203	132	515
204	132	513
205	132	511
206	133	510
207	133	508
208	133	506
209	134	504
210	134	503
211	134	501
212	135	500
213	135	498
214	136	496
215	136	495
216	136	494
217	137	492
218	137	491
219	138	489
220	138	488
221	138	486
222	139	485
223	139	484
224	140	482
225	140	481
226	140	479
227	141	478
228	141	476
229	141	474
230	142	473
231	142	471
232	142	470
233	143	469
234	143	468
235	144	467
236	144	465
237	145	464
238	145	462
239	145	461
240	146	459
241	146	458
242	146	457
243	147	456
244	147	454
245	148	453
246	148	452
247	148	451
248	149	449
249	149	448
250	149	447
251	150	446
252	150	444
253	150	443
254	151	442
255	151	440
256	152	439
257	152	438
258	152	436
259	153	435
260	153	434
261	153	432
262	154	431
263	154	430
264	154	429
265	155	427
266	155	426
267	155	425
268	156	424
269	156	423
270	156	421
271	157	420
272	157	419
273	157	418
274	158	417
275	158	416
276	159	415
277	159	414
278	160	413
279	160	412
280	160	411
281	161	410
282	161	409
283	161	408
284	162	406
285	162	405
286	162	404
287	163	403
288	163	402
289	163	401
290	164	400
291	164	399
292	164	397
293	165	396
294	165	395
295	165	394
296	166	393
297	166	392
298	167	391
299	167	390
300	167	389
301	168	388
302	168	387
303	168	386
304	169	385
305	169	384
306	169	383
307	170	382
308	170	381
309	170	380
310	171	379
311	171	378
312	172	377
313	172	376
314	172	375
315	173	374
316	173	373
317	173	372
318	174	371
319	174	371
320	175	370
321	175	369
322	175	368
323	176	367
324	176	366
325	176	365
326	177	364
327	177	363
328	177	362
329	178	361
330	178	361
331	179	360
332	179	359
333	179	358
334	180	357
335	180	356
336	180	355
337	181	354
338	181	354
339	181	353
340	182	352
341	182	351
342	183	350
343	183	349
344	183	348
345	184	348
346	184	347
347	184	346
348	185	345
349	185	344
350	186	343
351	186	343
352	186	342
353	187	342
354	188	342
355	188	341
356	188	340
357	189	339
358	189	338
359	190	337
360	190	336
361	190	336
362	191	335
363	191	334
364	191	333
365	192	333
366	192	332
367	193	331
368	193	330
369	193	330
370	194	329
371	194	328
372	195	327
373	195	327
374	195	326
375	196	325
376	196	324
377	196	323
378	197	323
379	197	322
380	197	321
381	198	320
382	198	320
383	199	319
384	199	318
385	199	318
386	200	317
387	200	316
388	201	315
389	201	315
390	201	314
391	202	313
392	202	312
393	202	311
394	203	311
395	203	310
396	203	309
397	204	309
398	205	309
399	205	308
400	206	307
401	206	306
402	206	306
403	207	305
404	207	304
405	207	304
406	208	303
407	208	302
408	208	301
409	209	301
410	209	300
411	210	299
412	210	299
413	210	298
414	211	297
415	211	296
416	211	296
417	212	295
418	212	294
419	212	293
420	213	293
421	213	292
422	213	291
423	214	291
424	214	290
425	215	289
426	215	289
427	215	288
428	216	287
429	216	287
430	216	286
431	217	285
432	217	284
433	217	284
434	218	283
435	218	282
436	218	282
437	219	281
438	219	280
439	220	280
440	220	279
441	220	278
442	221	278
443	221	277
444	221	276
445	222	276
446	222	275
447	222	274
448	223	274
449	223	273
450	224	272
451	224	272
452	224	271
453	225	270
454	225	270
455	225	269
456	226	268
457	226	268
458	226	267
459	227	266
460	227	266
461	228	265
462	228	264
463	228	264
464	229	263
465	229	263
466	229	262
467	230	261
468	230	261
469	230	260
470	231	259
471	231	259
472	231	258
473	232	257
474	232	257
475	233	256
476	233	256
477	233	255
478	234	254
479	234	254
480	235	253
481	235	252
482	235	252
483	236	251
484	236	251
485	236	250
486	237	249
487	237	249
488	238	248
489	238	248
490	238	247
491	239	246
492	239	246
493	239	245
494	240	244
495	240	244
496	240	243
497	241	243
498	241	242
499	241	241
500	242	241
501	242	240
502	243	240
503	243	239
504	243	238
505	244	238
506	244	237
507	244	237
508	245	236
509	245	235
510	245	235
511	246	234
512	246	234
513	247	233
514	248	233
515	248	233
516	248	232
517	249	231
518	249	231
519	249	230
520	250	230
521	250	229
522	250	228
523	251	228
524	251	227
525	251	227
526	252	226
527	252	225
528	253	225
529	253	224
530	253	224
531	254	223
532	254	223
533	254	222
534	255	221
535	255	221
536	256	220
537	256	220
538	256	219
539	257	219
540	257	218
541	257	217
542	258	217
543	258	216
544	258	216
545	259	215
546	259	215
547	260	214
548	260	213
549	260	213
550	261	212
551	261	212
552	261	211
553	262	211
554	262	210
555	263	210
556	263	209
557	263	208
558	264	208
559	264	207
560	265	207
561	265	206
562	265	206
563	266	205
564	266	205
565	266	204
566	267	204
567	267	203
568	267	202
569	268	202
570	268	201
571	269	201
572	269	200
573	269	200
574	270	199
575	270	199
576	270	198
577	271	198
578	271	197
579	271	196
580	272	196
581	272	195
582	273	195
583	273	194
584	273	194
585	274	193
586	274	193
587	274	192
588	275	192
589	275	191
590	275	190
591	276	190
592	276	189
593	277	189
594	277	188
595	277	188
596	278	187
597	278	187
598	278	186
599	279	186
600	279	185
601	279	185
602	280	184
603	280	183
604	280	183
605	281	182
606	281	182
607	281	181
608	282	181
609	282	180
610	283	180
611	283	179
612	283	179
613	284	178
614	284	178
615	284	177
616	285	177
617	285	176
618	286	176
619	286	175
620	286	175
621	287	174
622	287	173
623	287	173
624	288	172
625	288	172
626	288	171
627	289	171
628	289	170
629	289	170
630	290	169
631	290	169
632	290	168
633	291	168
634	291	167
635	291	167
636	292	166
637	292	166
638	293	165
639	293	165
640	293	164
641	294	164
642	294	163
643	294	163
644	295	162
645	295	161
646	295	161
647	296	160
648	296	160
649	297	159
650	297	159
651	297	158
652	298	158
653	298	157
654	299	157
655	299	156
656	299	156
657	300	155
658	300	155
659	300	154
660	301	154
661	301	153
662	301	153
663	302	152
664	302	152
665	303	151
666	303	151
667	303	150
668	304	150
669	304	149
670	304	149
671	305	148
672	305	148
673	306	148
674	306	147
675	306	147
676	307	146
677	307	146
678	308	145
679	308	145
680	308	144
681	309	144
682	309	143
683	310	143
684	310	142
685	310	142
686	311	141
687	311	141
688	311	140
689	312	140
690	312	139
691	313	139
692	313	138
693	314	138
694	314	138
695	314	137
696	315	137
697	315	136
698	315	136
699	316	135
700	316	135
701	317	134
702	317	134
703	317	133
704	318	133
705	318	132
706	318	132
707	319	131
708	319	131
709	320	130
710	320	130
711	320	129
712	321	129
713	321	128
714	321	128
715	322	127
716	322	127
717	323	126
718	323	126
719	323	125
720	324	125
721	324	124
722	324	124
723	325	124
724	325	123
725	326	123
726	326	122
