iter	Passed	Remaining
0	59	59431
1	59	29879
2	60	20023
3	60	15095
4	61	12145
5	61	10180
6	61	8778
7	62	7728
8	62	6910
9	63	6259
10	63	5721
11	64	5271
12	64	4887
13	64	4561
14	65	4282
15	65	4040
16	66	3826
17	66	3632
18	67	3461
19	67	3303
20	67	3169
21	68	3043
22	68	2930
23	69	2826
24	69	2725
25	70	2632
26	70	2545
27	71	2465
28	71	2393
29	71	2324
30	72	2258
31	72	2197
32	72	2138
33	73	2086
34	73	2037
35	74	1988
36	74	1944
37	75	1900
38	75	1859
39	75	1821
40	76	1784
41	76	1748
42	77	1717
43	77	1687
44	78	1656
45	78	1627
46	78	1598
47	79	1570
48	79	1544
49	80	1520
50	80	1496
51	80	1474
52	81	1451
53	81	1429
54	82	1409
55	82	1388
56	82	1368
57	83	1349
58	83	1331
59	83	1314
60	84	1297
61	84	1280
62	85	1264
63	85	1248
64	85	1234
65	86	1219
66	86	1205
67	87	1193
68	87	1179
69	87	1166
70	88	1153
71	88	1141
72	88	1129
73	89	1118
74	89	1106
75	90	1095
76	90	1083
77	90	1073
78	91	1062
79	91	1054
80	92	1045
81	92	1035
82	92	1023
83	93	1014
84	93	1005
85	93	996
86	94	988
87	94	980
88	94	971
89	95	963
90	95	955
91	96	948
92	96	941
93	96	934
94	97	927
95	97	921
96	98	915
97	98	909
98	99	902
99	99	896
100	100	890
101	100	884
102	100	877
103	101	872
104	101	865
105	102	860
106	102	854
107	102	848
108	103	842
109	103	837
110	103	831
111	104	826
112	104	821
113	105	816
114	105	811
115	105	806
116	106	801
117	106	796
118	106	792
119	107	787
120	107	782
121	107	777
122	108	772
123	108	768
124	109	764
125	109	760
126	109	755
127	110	751
128	110	746
129	110	742
130	111	738
131	111	734
132	112	730
133	112	726
134	112	722
135	113	718
136	113	714
137	113	711
138	114	707
139	114	703
140	114	700
141	115	695
142	115	692
143	115	688
144	116	685
145	116	682
146	117	679
147	117	676
148	117	673
149	118	670
150	118	666
151	119	664
152	119	661
153	119	658
154	120	655
155	120	652
156	120	649
157	121	646
158	121	644
159	122	641
160	122	637
161	122	634
162	123	632
163	123	629
164	123	627
165	124	624
166	124	621
167	124	618
168	125	616
169	125	614
170	126	611
171	126	609
172	127	607
173	127	604
174	127	602
175	128	599
176	128	598
177	129	595
178	129	593
179	129	591
180	130	589
181	130	586
182	130	584
183	131	582
184	131	579
185	131	577
186	132	575
187	132	573
188	133	570
189	133	568
190	133	567
191	134	565
192	134	563
193	135	561
194	135	559
195	135	557
196	136	555
197	136	553
198	137	552
199	137	550
200	137	548
201	138	546
202	138	544
203	139	544
204	140	543
205	140	541
206	140	539
207	141	537
208	141	535
209	141	534
210	142	532
211	142	530
212	143	528
213	143	526
214	143	525
215	144	523
216	144	521
217	144	519
218	145	518
219	145	516
220	146	514
221	146	513
222	146	512
223	147	511
224	147	509
225	148	508
226	148	506
227	149	505
228	149	503
229	149	502
230	150	500
231	150	499
232	151	497
233	151	496
234	152	494
235	152	493
236	152	492
237	153	490
238	153	488
239	153	487
240	154	485
241	154	484
242	155	483
243	155	481
244	155	480
245	156	478
246	156	477
247	156	475
248	157	474
249	157	472
250	157	471
251	158	470
252	158	468
253	159	467
254	159	466
255	159	464
256	160	463
257	160	462
258	161	460
259	161	459
260	161	458
261	162	457
262	162	456
263	163	455
264	164	454
265	164	453
266	164	452
267	165	451
268	165	450
269	166	449
270	166	448
271	167	447
272	167	446
273	167	444
274	168	443
275	168	442
276	169	441
277	169	440
278	169	439
279	170	437
280	170	436
281	171	435
282	171	434
283	171	433
284	172	432
285	172	431
286	173	429
287	173	428
288	173	427
289	174	426
290	174	425
291	175	424
292	175	423
293	175	422
294	176	421
295	176	419
296	176	418
297	177	417
298	177	417
299	178	415
300	178	414
301	179	413
302	179	412
303	179	411
304	180	410
305	180	409
306	181	408
307	181	407
308	181	406
309	182	405
310	182	404
311	182	403
312	183	401
313	183	400
314	183	399
315	184	398
316	184	397
317	185	396
318	185	395
319	185	394
320	186	393
321	186	392
322	186	391
323	187	390
324	187	389
325	187	388
326	188	387
327	188	386
328	189	385
329	189	384
330	189	383
331	190	382
332	190	381
333	190	380
334	191	379
335	191	378
336	192	377
337	192	376
338	192	376
339	193	375
340	193	374
341	193	373
342	194	372
343	194	371
344	195	370
345	195	369
346	195	368
347	196	367
348	196	366
349	196	365
350	197	364
351	197	363
352	198	363
353	198	362
354	198	361
355	199	360
356	199	359
357	199	358
358	200	357
359	200	356
360	200	355
361	201	354
362	201	353
363	202	353
364	202	352
365	202	351
366	203	350
367	203	349
368	203	348
369	204	347
370	204	346
371	205	346
372	205	345
373	205	344
374	206	343
375	206	342
376	206	341
377	207	340
378	207	339
379	207	339
380	208	338
381	208	337
382	208	336
383	209	335
384	209	334
385	210	334
386	210	333
387	210	332
388	211	331
389	211	331
390	212	330
391	212	329
392	212	328
393	213	327
394	213	327
395	213	326
396	214	325
397	214	324
398	214	323
399	215	322
400	215	322
401	215	321
402	216	320
403	216	319
404	217	319
405	217	318
406	217	317
407	218	316
408	218	315
409	219	315
410	219	314
411	219	313
412	220	312
413	220	312
414	220	311
415	221	310
416	221	309
417	222	309
418	222	308
419	222	307
420	223	306
421	223	306
422	224	305
423	224	305
424	224	304
425	225	303
426	225	302
427	225	302
428	226	301
